Source,Benchmark,Data Size,Sequential,Spark Gen,Spark Gen Speedup,Max Speedup,Spark Manual,Spark Manual Speedup,,,,
,,,0:14:40,0:01:04,13.74,,0:01:07,13.13,,,,
,,50GB,0:29:11,0:01:47,16.37,,0:01:48,16.22,,,,
,,,0:29:05,0:01:48,16.15,,0:01:48,16.15,,,,
,,75GB,0:43:33,0:02:36,16.75,,0:02:31,17.31,,,,
,,,0:43:41,0:02:31,17.36,,0:02:32,17.24,,,,
,Loop 4,25GB,0:21:24,0:01:13,17.59,24.31,0:01:08,18.88,,,,
,,,0:22:12,0:01:12,18.5,,0:01:10,19.03,,,,
,,50GB,0:45:03,0:01:59,22.71,,0:01:57,23.1,,,,
,,,0:43:57,0:01:59,22.16,,0:01:54,23.13,,,,
,,75GB,1:06:02,0:02:43,24.31,,0:02:40,24.76,,,,
,,,1:02:39,0:02:46,22.64,,0:02:43,23.06,,,,
,Loop 5,25GB,0:14:44,0:02:22,6.22,7.87,0:02:06,7.01,,,,
,,,0:14:41,0:02:16,6.48,,0:02:16,6.48,,,,
,,50GB,0:29:23,0:04:02,7.29,,0:03:58,7.41,,,,
,,,0:29:22,0:03:56,7.47,,0:03:52,7.6,,,,
,,75GB,0:44:02,0:05:49,7.57,,0:05:42,7.73,,,,
,,,0:44:05,0:05:36,7.87,,0:05:31,7.99,,,,
Fiji: Trails,Loop 1,25GB,0:21:24,0:01:13,17.59,24.31,0:01:08,18.88,,,,
,,,0:22:12,0:01:12,18.5,,0:01:10,19.03,,,,
,,50GB,0:45:03,0:01:59,22.71,,0:01:57,23.1,,,,
,,,0:43:57,0:01:59,22.16,,0:01:54,23.13,,,,
,,75GB,1:06:02,0:02:43,24.31,,0:02:40,24.76,,,,
,,,1:02:39,0:02:46,22.64,,0:02:43,23.06,,,,
,Loop 2,25GB,0:14:30,0:00:51,17.06,22.86,0:00:51,17.06,,,,
,,,0:14:34,0:00:51,17.13,,0:00:54,16.18,,,,
,,50GB,0:29:07,0:01:20,21.83,,0:01:22,21.3,,,,
,,,0:29:02,0:01:19,22.05,,0:01:22,21.24,,,,
,,75GB,0:42:40,0:01:52,22.86,,0:01:53,22.66,,,,
,,,0:42:37,0:01:52,22.83,,0:01:50,23.25,,,,
,Loop 3,25GB,0:28:34,0:02:01,14.17,16.64,0:02:09,13.29,,,,
,,,0:28:53,0:02:01,14.32,,0:02:09,13.43,,,,
,,50GB,0:57:38,0:03:38,15.86,,0:03:45,15.37,,,,
,,,0:57:59,0:03:44,15.53,,0:03:43,15.6,,,,
,,75GB,1:25:56,0:05:22,16.01,,0:05:16,16.32,,,,
,,,1:26:31,0:05:12,16.64,,0:05:13,16.58,,,,
,Loop 4,25GB,0:24:53,0:01:52,13.33,17.84,0:01:43,14.5,,,,
,,,0:24:57,0:01:50,13.61,,0:01:47,13.99,,,,
,,50GB,0:50:55,0:03:02,16.79,,0:03:01,16.88,,,,
,,,0:51:23,0:02:59,17.22,,0:02:59,17.22,,,,
,,75GB,1:15:48,0:04:15,17.84,,0:04:12,18.05,,,,
,,,1:16:20,0:04:23,17.41,,0:04:10,18.32,,,,
Fiji: NL Means,Loop 1,75GB,00:40:58,0:02:32,16.19,16.94,,,,,,
,,,00:46:48,0:02:46,16.94,,,,,,,
,Loop 2,75GB,01:01:05,0:03:08,19.45,19.45,,,,,,
,,,00:59:22,0:03:09,18.86,,,,,,,
,Loop 3,75GB,00:54:00,0:02:43,19.93,20.30,,,,,,
,,,00:58:08,0:02:52,20.30,,,,,,,
,Loop 4,75GB,01:10:59,0:04:31,15.73,15.73,,,,,,
,,,01:10:31,0:04:43,14.93,,,,,,,
,Loop 5,75GB,01:08:33,0:03:22,20.41,20.41,,,,,,
,,,01:03:59,0:03:18,19.40,,,,,,,
,Loop 6,75GB,00:58:36,0:03:45,15.66,16.16,,,,,,
,,,00:51:40,0:03:12,16.16,,,,,,,
,Loop 7,75GB,00:51:29,0:02:35,19.91,19.91,,,,,,
,,,00:56:04,0:02:50,19.77,,,,,,,
,Loop 8,75GB,00:56:00,0:03:36,15.57,15.78,,,,,,
,,,00:50:31,0:03:12,15.78,,,,,,,
